,Geographic name,Geographic type,"Incompletely enumerated Indian reserves and Indian settlements, 2011","Population, 2011","Total private dwellings, 2011","Land area in square kilometres, 2011","Population density per square kilometre, 2011","National population rank, 2011","Provincial/territorial population rank, 2011",Province
0,canada,,T,33476688.0,14569633.0,8965121.4248,3.7341,,,
2,portugal cove south ,T,F,160.0,90.0,1.14,140.3509,4136.0,306.0,nl
3,trepassey ,T,F,570.0,335.0,55.8094,10.2133,2833.0,144.0,nl
4,st. shott's ,T,F,81.0,44.0,1.1359,71.3091,4454.0,348.0,nl
6,cape broyle ,T,F,506.0,269.0,10.0474,50.3613,2984.0,165.0,nl
7,renews-cappahayden ,T,F,310.0,234.0,127.8436,2.4248,3601.0,229.0,nl
8,fermeuse ,T,F,323.0,167.0,38.7322,8.3393,3548.0,226.0,nl
9,port kirwan ,T,F,65.0,55.0,9.1918,7.0715,4524.0,351.0,nl
10,aquaforte ,T,F,83.0,65.0,6.8158,12.1776,4445.0,346.0,nl
11,ferryland ,T,F,465.0,241.0,13.6204,34.14,3121.0,179.0,nl
13,st. vincent's-st. stephen's-peter's river ,T,F,340.0,206.0,87.5042,3.8855,3492.0,216.0,nl
14,gaskiers-point la haye ,T,F,233.0,131.0,23.8146,9.7839,3875.0,268.0,nl
15,st. mary's ,T,F,439.0,212.0,37.0497,11.8489,3191.0,188.0,nl
16,riverhead ,T,F,212.0,110.0,105.5955,2.0077,3956.0,280.0,nl
17,admirals beach ,T,F,153.0,79.0,24.4244,6.2642,4161.0,308.0,nl
18,st. joseph's ,T,F,115.0,101.0,32.3135,3.5589,4298.0,330.0,nl
19,mount carmel-mitchells brook-st. catherine's ,T,F,358.0,287.0,61.5524,5.8162,3441.0,208.0,nl
21,colinet ,T,F,110.0,88.0,6.2271,17.6647,4326.0,334.0,nl
23,branch ,T,F,247.0,168.0,16.1462,15.2977,3820.0,266.0,nl
24,point lance ,T,F,120.0,47.0,29.1368,4.1185,4280.0,325.0,nl
25,st. bride's ,T,F,308.0,160.0,5.8431,52.7117,3605.0,230.0,nl
27,placentia ,T,F,3643.0,1737.0,58.0547,62.7512,881.0,19.0,nl
28,fox harbour ,T,F,270.0,129.0,19.7829,13.6482,3741.0,253.0,nl
30,long harbour-mount arlington heights ,T,F,298.0,266.0,18.407,16.1895,3648.0,238.0,nl
31,southern harbour ,T,F,534.0,235.0,5.4067,98.7663,2909.0,157.0,nl
32,arnold's cove ,T,F,990.0,462.0,4.9254,200.9989,2086.0,82.0,nl
33,come by chance ,T,F,247.0,109.0,41.163,6.0005,3820.0,266.0,nl
34,sunnyside ,T,F,452.0,233.0,37.9486,11.9108,3153.0,181.0,nl
35,chance cove ,T,F,282.0,151.0,18.1988,15.4955,3712.0,246.0,nl
36,norman's cove-long cove ,T,F,720.0,324.0,19.9798,36.0364,2526.0,111.0,nl
37,chapel arm ,T,F,468.0,222.0,28.1715,16.6125,3114.0,178.0,nl
39,whitbourne ,T,F,916.0,478.0,21.4076,42.7885,2189.0,90.0,nl
41,whiteway ,T,F,293.0,123.0,22.6431,12.9399,3668.0,241.0,nl
42,heart's delight-islington ,T,F,704.0,394.0,27.2722,25.8138,2558.0,112.0,nl
43,heart's desire ,T,F,223.0,120.0,17.2659,12.9156,3911.0,274.0,nl
45,heart's content ,T,F,375.0,224.0,62.8109,5.9703,3375.0,205.0,nl
46,new perlican ,T,F,210.0,158.0,24.4673,8.5829,3964.0,283.0,nl
47,winterton ,T,F,484.0,276.0,10.5185,46.0142,3057.0,169.0,nl
48,hant's harbour ,T,F,346.0,206.0,32.3133,10.7077,3471.0,213.0,nl
50,old perlican ,T,F,661.0,308.0,14.4669,45.6905,2646.0,123.0,nl
51,bay de verde ,T,F,398.0,207.0,13.2777,29.9751,3306.0,196.0,nl
52,small point-adam's cove-blackhead-broad cove ,T,F,389.0,308.0,22.2173,17.5089,3330.0,201.0,nl
54,salmon cove ,T,F,695.0,315.0,4.2082,165.1537,2577.0,116.0,nl
55,victoria ,T,F,1764.0,728.0,17.6369,100.0176,1456.0,52.0,nl
56,carbonear ,T,F,4739.0,2034.0,11.8128,401.175,736.0,17.0,nl
58,bryant's cove ,T,F,396.0,167.0,4.8744,81.2408,3316.0,200.0,nl
59,harbour grace ,T,F,3131.0,1430.0,33.7054,92.8931,978.0,24.0,nl
60,upper island cove ,T,F,1594.0,675.0,7.8515,203.0185,1560.0,55.0,nl
62,bishop's cove ,T,F,275.0,128.0,1.8894,145.5489,3725.0,249.0,nl
63,spaniard's bay ,T,F,2622.0,1093.0,65.7303,39.8903,1108.0,31.0,nl
65,bay roberts ,T,F,5818.0,2434.0,23.9204,243.2234,630.0,14.0,nl
68,north river ,T,F,562.0,271.0,4.3186,130.1348,2847.0,146.0,nl
69,clarke's beach ,T,F,1396.0,581.0,12.7087,109.846,1683.0,62.0,nl
70,south river ,T,F,655.0,309.0,6.0629,108.0341,2656.0,127.0,nl
71,cupids ,T,F,761.0,398.0,11.022,69.0437,2446.0,104.0,nl
73,brigus ,T,F,750.0,455.0,11.5675,64.8368,2466.0,106.0,nl
75,colliers ,T,F,651.0,397.0,26.1586,24.8867,2662.0,128.0,nl
76,conception harbour ,T,F,697.0,362.0,21.6245,32.232,2568.0,113.0,nl
77,avondale ,T,F,636.0,349.0,29.9325,21.2478,2700.0,131.0,nl
78,harbour main-chapel's cove-lakeview ,T,F,1083.0,476.0,21.0532,51.4411,1971.0,77.0,nl
79,holyrood ,T,F,1995.0,866.0,125.5743,15.887,1336.0,43.0,nl
80,conception bay south ,T,F,24848.0,9527.0,59.2709,419.2276,167.0,2.0,nl
82,wabana ,T,F,2346.0,1147.0,14.4958,161.84,1201.0,35.0,nl
83,portugal cove-st. philip's ,T,F,7366.0,2824.0,57.3542,128.43,518.0,11.0,nl
84,pouch cove ,T,F,1866.0,763.0,58.3358,31.9872,1396.0,47.0,nl
85,flatrock ,T,F,1457.0,543.0,18.1167,80.423,1639.0,58.0,nl
86,torbay ,T,F,7397.0,2662.0,34.8778,212.0833,513.0,9.0,nl
87,logy bay-middle cove-outer cove ,T,F,2098.0,744.0,16.9757,123.5884,1286.0,39.0,nl
88,bauline ,T,F,397.0,143.0,15.948,24.8934,3310.0,198.0,nl
89,paradise ,T,F,17695.0,6906.0,29.2372,605.2221,235.0,5.0,nl
90,st. john's ,CY,F,106172.0,48819.0,446.0556,238.0241,48.0,1.0,nl
91,mount pearl ,CY,F,24284.0,10219.0,15.7475,1542.086,169.0,3.0,nl
92,petty harbour-maddox cove ,T,F,924.0,363.0,4.5057,205.0736,2180.0,88.0,nl
93,bay bulls ,T,F,1283.0,545.0,30.7436,41.7323,1774.0,66.0,nl
94,witless bay ,T,F,1179.0,484.0,17.486,67.4254,1862.0,73.0,nl
97,lewin's cove ,T,F,555.0,241.0,6.5213,85.1057,2861.0,149.0,nl
98,burin ,T,F,2424.0,1140.0,34.0503,71.1888,1170.0,32.0,nl
100,st. lawrence ,T,F,1244.0,581.0,35.4967,35.0455,1805.0,68.0,nl
102,lawn ,T,F,672.0,295.0,3.6112,186.0877,2628.0,122.0,nl
103,lamaline ,T,F,286.0,157.0,81.6934,3.5009,3694.0,243.0,nl
104,lord's cove ,T,F,175.0,97.0,30.9147,5.6607,4088.0,300.0,nl
105,point may ,T,F,233.0,112.0,64.8889,3.5908,3875.0,268.0,nl
106,point au gaul ,T,F,97.0,41.0,3.8377,25.2756,4374.0,341.0,nl
108,frenchman's cove ,T,F,172.0,126.0,68.5493,2.5091,4099.0,302.0,nl
109,fortune ,T,F,1442.0,769.0,54.851,26.2894,1650.0,59.0,nl
110,grand bank ,T,F,2415.0,1159.0,16.9691,142.3175,1178.0,34.0,nl
111,garnish ,T,F,545.0,295.0,39.1066,13.9363,2886.0,154.0,nl
113,winterland ,T,F,363.0,208.0,54.3416,6.68,3420.0,206.0,nl
114,marystown ,T,F,5506.0,2474.0,61.9682,88.852,660.0,15.0,nl
115,fox cove-mortier ,T,F,333.0,158.0,25.6,13.0078,3520.0,222.0,nl
117,bay l'argent ,T,F,285.0,143.0,3.5588,80.0832,3699.0,244.0,nl
119,grand le pierre ,T,F,260.0,100.0,153.5856,1.6929,3774.0,261.0,nl
121,rushoon ,T,F,288.0,130.0,6.1504,46.8262,3684.0,242.0,nl
122,parkers cove ,T,F,301.0,124.0,4.85,62.0619,3642.0,236.0,nl
123,terrenceville ,T,F,530.0,227.0,14.4986,36.5553,2926.0,159.0,nl
124,red harbour ,T,F,191.0,85.0,11.3501,16.828,4035.0,291.0,nl
125,english harbour east ,T,F,147.0,68.0,3.2024,45.9031,4179.0,310.0,nl
126,baine harbour ,T,F,137.0,73.0,4.816,28.4468,4214.0,315.0,nl
127,st. bernard's-jacques fontaine ,T,F,470.0,222.0,16.4424,28.5846,3107.0,176.0,nl
130,little bay east ,T,F,130.0,61.0,1.4812,87.7667,4239.0,322.0,nl
132,rencontre east ,T,F,141.0,68.0,2.6198,53.8209,4200.0,313.0,nl
133,st. jacques-coomb's cove ,T,F,618.0,297.0,83.7606,7.3782,2734.0,137.0,nl
134,belleoram ,T,F,409.0,181.0,2.1017,194.6044,3263.0,192.0,nl
135,pool's cove ,T,F,182.0,93.0,2.6376,69.0021,4063.0,295.0,nl
137,harbour breton ,T,F,1711.0,678.0,13.737,124.5541,1485.0,53.0,nl
139,seal cove ,T,F,263.0,135.0,2.417,108.8126,3769.0,260.0,nl
140,hermitage-sandyville ,T,F,450.0,223.0,28.9097,15.5657,3162.0,185.0,nl
141,gaultois ,T,F,179.0,108.0,4.3258,41.3796,4077.0,299.0,nl
143,milltown-head of bay d'espoir ,T,F,789.0,379.0,25.0221,31.5321,2396.0,102.0,nl
144,st. alban's ,T,F,1233.0,583.0,20.8484,59.1412,1816.0,69.0,nl
145,morrisville ,T,F,117.0,50.0,14.261,8.2042,4293.0,328.0,nl
148,ramea ,T,F,280.0,149.0,1.8942,147.8197,3717.0,248.0,nl
149,burgeo ,T,F,1464.0,682.0,31.3366,46.7185,1634.0,57.0,nl
151,isle aux morts ,T,F,619.0,287.0,7.6562,80.8495,2728.0,135.0,nl
152,burnt islands ,T,F,651.0,256.0,9.5176,68.3996,2662.0,128.0,nl
153,channel-port aux basques ,T,F,4170.0,1912.0,38.7685,107.5616,798.0,18.0,nl
156,rose blanche-harbour le cou ,T,F,118.0,65.0,4.4441,26.5521,4289.0,327.0,nl
157,samiajij miawpukek ,IRI,F,920.0,328.0,16.8683,54.5402,2183.0,89.0,nl
161,st. george's ,T,F,1207.0,541.0,25.8298,46.729,1841.0,71.0,nl
163,gallants ,T,F,59.0,59.0,6.3363,9.3114,4552.0,355.0,nl
164,stephenville crossing ,T,F,1875.0,811.0,31.2022,60.0919,1390.0,46.0,nl
165,stephenville ,T,F,6719.0,3181.0,35.6849,188.2869,565.0,12.0,nl
166,kippens ,T,F,1815.0,735.0,14.3161,126.7803,1429.0,50.0,nl
167,port au port east ,T,F,598.0,292.0,24.7616,24.1503,2766.0,139.0,nl
169,cape st. george ,T,F,949.0,409.0,33.4576,28.3643,2149.0,86.0,nl
170,lourdes ,T,F,532.0,243.0,8.1013,65.6685,2921.0,158.0,nl
171,port au port west-aguathuna-felix cove ,T,F,447.0,224.0,16.7184,26.737,3171.0,186.0,nl
174,deer lake ,T,F,4995.0,2106.0,73.2306,68.2092,710.0,16.0,nl
175,jackson's arm ,T,F,323.0,174.0,7.0235,45.9885,3548.0,226.0,nl
176,howley ,T,F,221.0,129.0,19.9076,11.1013,3921.0,275.0,nl
178,hampden ,T,F,457.0,210.0,32.9654,13.863,3136.0,180.0,nl
179,reidville ,T,F,474.0,190.0,58.4081,8.1153,3094.0,175.0,nl
181,steady brook ,T,F,408.0,207.0,1.2185,334.8379,3268.0,193.0,nl
182,pasadena ,T,F,3352.0,1428.0,49.163,68.1814,942.0,22.0,nl
183,cormack ,T,F,605.0,263.0,135.2341,4.4737,2755.0,138.0,nl
184,gillams ,T,F,407.0,186.0,6.697,60.7735,3272.0,195.0,nl
186,massey drive ,T,F,1412.0,544.0,2.4777,569.8834,1668.0,61.0,nl
187,corner brook ,CY,F,19886.0,8643.0,148.2648,134.1249,200.0,4.0,nl
189,humber arm south ,T,F,1681.0,726.0,65.0598,25.8378,1499.0,54.0,nl
190,mcivers ,T,F,546.0,232.0,12.0585,45.2793,2881.0,152.0,nl
191,cox's cove ,T,F,660.0,318.0,7.2136,91.4938,2649.0,125.0,nl
192,lark harbour ,T,F,510.0,288.0,12.9207,39.4715,2978.0,164.0,nl
193,meadows ,T,F,649.0,270.0,3.7906,171.213,2670.0,130.0,nl
194,hughes brook ,T,F,231.0,80.0,1.5993,144.4382,3883.0,272.0,nl
195,irishtown-summerside ,T,F,1428.0,571.0,11.8927,120.0737,1660.0,60.0,nl
196,mount moriah ,T,F,785.0,318.0,15.7056,49.9822,2402.0,103.0,nl
197,york harbour ,T,F,347.0,262.0,13.8987,24.9664,3468.0,212.0,nl
199,norris arm ,T,F,912.0,545.0,41.4904,21.981,2195.0,91.0,nl
201,gander ,T,F,11054.0,4751.0,104.2529,106.0306,359.0,7.0,nl
202,appleton ,T,F,622.0,265.0,6.3931,97.2924,2723.0,134.0,nl
203,glenwood ,T,F,791.0,343.0,6.9168,114.3592,2392.0,101.0,nl
205,northern arm ,T,F,397.0,193.0,25.6425,15.4821,3310.0,198.0,nl
206,grand falls-windsor ,T,F,13725.0,6134.0,54.6657,251.0715,287.0,6.0,nl
207,bishop's falls ,T,F,3341.0,1435.0,28.1185,118.8186,943.0,23.0,nl
208,peterview ,T,F,809.0,279.0,6.7222,120.3475,2360.0,98.0,nl
209,botwood ,T,F,3008.0,1326.0,15.0469,199.9083,1004.0,26.0,nl
210,badger ,T,F,793.0,345.0,1.9599,404.6125,2387.0,100.0,nl
211,millertown ,T,F,99.0,66.0,3.2447,30.5113,4368.0,340.0,nl
213,buchans ,T,F,696.0,351.0,4.8814,142.582,2571.0,115.0,nl
217,clarenville ,T,F,6036.0,2565.0,140.7878,42.873,611.0,13.0,nl
219,trinity ,T,F,137.0,134.0,12.9241,10.6004,4214.0,315.0,nl
220,port rexton ,T,F,338.0,235.0,11.7791,28.6949,3502.0,218.0,nl
222,elliston ,T,F,337.0,207.0,10.0475,33.5407,3508.0,220.0,nl
223,trinity bay north ,T,F,1827.0,885.0,25.4302,71.8437,1423.0,49.0,nl
224,bonavista ,T,F,3589.0,1688.0,31.5032,113.9249,893.0,20.0,nl
226,keels ,T,F,61.0,55.0,6.538,9.3301,4542.0,354.0,nl
227,duntara ,T,F,46.0,42.0,17.7751,2.5879,4608.0,360.0,nl
228,king's cove ,T,F,111.0,85.0,21.4836,5.1667,4317.0,333.0,nl
231,musgravetown ,T,F,556.0,278.0,13.6334,40.7822,2858.0,147.0,nl
232,port blandford ,T,F,483.0,310.0,50.5591,9.5532,3062.0,170.0,nl
233,traytown ,T,F,283.0,162.0,13.3097,21.2627,3707.0,245.0,nl
235,savage cove-sandy cove ,T,F,132.0,92.0,9.0087,14.6525,4228.0,320.0,nl
236,terra nova ,T,F,83.0,141.0,2.4632,33.696,4445.0,346.0,nl
237,happy adventure ,T,F,219.0,156.0,9.6155,22.7757,3932.0,278.0,nl
238,eastport ,T,F,482.0,327.0,18.64,25.8584,3064.0,171.0,nl
239,sandringham ,T,F,274.0,126.0,9.5975,28.5491,3729.0,250.0,nl
240,glovertown ,T,F,2122.0,930.0,70.3258,30.1738,1273.0,38.0,nl
242,salvage ,T,F,136.0,103.0,15.8575,8.5764,4219.0,318.0,nl
243,gambo ,T,F,1984.0,937.0,92.0699,21.5488,1341.0,44.0,nl
244,st. brendan's ,T,F,147.0,141.0,10.1437,14.4918,4179.0,310.0,nl
245,hare bay ,T,F,1031.0,471.0,34.0611,30.2691,2036.0,80.0,nl
246,centreville-wareham-trinity ,T,F,1161.0,532.0,37.2454,31.1716,1885.0,75.0,nl
248,greenspond ,T,F,305.0,185.0,2.8506,106.995,3624.0,234.0,nl
250,dover ,T,F,673.0,292.0,11.5538,58.2492,2622.0,121.0,nl
251,new-wes-valley ,T,F,2265.0,1103.0,133.5899,16.9549,1228.0,37.0,nl
252,indian bay ,T,F,174.0,107.0,86.2388,2.0177,4093.0,301.0,nl
254,lumsden ,T,F,545.0,296.0,20.4301,26.6763,2886.0,154.0,nl
255,musgrave harbour ,T,F,1053.0,491.0,69.9449,15.0547,2009.0,79.0,nl
257,carmanville ,T,F,737.0,379.0,43.0825,17.1067,2494.0,107.0,nl
258,fogo island region ,RG,F,421.0,237.0,173.4845,2.4267,3226.0,191.0,nl
259,fogo ,T,F,658.0,355.0,5.9196,111.1562,2652.0,126.0,nl
260,joe batt's arm-barr'd islands-shoal bay ,T,F,685.0,388.0,26.0239,26.322,2594.0,118.0,nl
261,tilting ,T,F,204.0,151.0,17.6265,11.5735,3981.0,286.0,nl
262,change islands ,T,F,257.0,192.0,5.3057,48.4385,3790.0,265.0,nl
263,seldom-little seldom ,T,F,427.0,186.0,14.5975,29.2516,3208.0,190.0,nl
265,crow head ,T,F,203.0,122.0,2.9799,68.1231,3991.0,287.0,nl
267,cottlesville ,T,F,272.0,140.0,11.1736,24.3431,3734.0,251.0,nl
268,summerford ,T,F,853.0,401.0,16.0633,53.1024,2286.0,94.0,nl
269,twillingate ,T,F,2269.0,1190.0,25.7391,88.1538,1226.0,36.0,nl
271,campbellton ,T,F,520.0,288.0,35.7054,14.5636,2956.0,161.0,nl
272,birchy bay ,T,F,566.0,276.0,49.5215,11.4294,2838.0,145.0,nl
273,comfort cove-newstead ,T,F,451.0,244.0,29.8348,15.1166,3159.0,184.0,nl
274,baytona ,T,F,264.0,125.0,15.3837,17.161,3767.0,259.0,nl
276,embree ,T,F,691.0,309.0,18.1579,38.0551,2584.0,117.0,nl
277,lewisporte ,T,F,3483.0,1487.0,36.9074,94.3713,910.0,21.0,nl
278,little burnt bay ,T,F,294.0,133.0,8.496,34.6045,3665.0,240.0,nl
280,point of bay ,T,F,159.0,167.0,21.9384,7.2476,4144.0,307.0,nl
281,leading tickles ,T,F,337.0,188.0,26.7314,12.6069,3508.0,220.0,nl
282,point leamington ,T,F,619.0,360.0,28.8063,21.4884,2728.0,135.0,nl
284,pilley's island ,T,F,301.0,180.0,34.6711,8.6816,3642.0,236.0,nl
